LocationID,zone,borough,centroid_x_ft,centroid_y_ft
241,Van Cortlandt Village,Bronx,1013115.8817499311,258631.99219936813
242,Van Nest/Morris Park,Bronx,1025564.827848377,247818.58816949854
243,Washington Heights North,Manhattan,1002830.5879862525,251552.22868923834
244,Washington Heights South,Manhattan,1000464.3110465184,245939.8806584463
245,West Brighton,Staten Island,955698.91583163,168837.0586014951
246,West Chelsea/Hudson Yards,Manhattan,983137.4661049042,213727.4000807691
247,West Concourse,Bronx,1005169.12302948,241308.75707573412
248,West Farms/Bronx River,Bronx,1019590.3761022007,243211.97877590635
249,West Village,Manhattan,983453.2246479206,206902.40799519923
250,Westchester Village/Unionport,Bronx,1026135.8006314031,242470.43505937856
251,Westerleigh,Staten Island,949450.1344783141,164047.36514961507
252,Whitestone,Queens,1035297.1584277906,226490.62684032222
253,Willets Point,Queens,1028229.9452524825,216434.84686620388
254,Williamsbridge/Olinville,Bronx,1023253.960892985,260702.71418502126
255,Williamsburg (North Side),Brooklyn,996053.8033063569,201159.0333537073
256,Williamsburg (South Side),Brooklyn,995365.8780807871,198271.7996992504
257,Windsor Terrace,Brooklyn,990359.3815936594,177405.4966691782
258,Woodhaven,Queens,1024249.8716231491,190229.06962092282
259,Woodlawn/Wakefield,Bronx,1025106.2307866669,266453.4145521485
260,Woodside,Queens,1010211.977343116,210434.89189425216
261,World Trade Center,Manhattan,980639.5117707981,197635.17370314812
262,Yorkville East,Manhattan,999064.7250831138,221974.4007879432
263,Yorkville West,Manhattan,997817.9196590832,223005.98840900668
